ValidStart,ValidEnd,None,D0,D1,D2,D3,D4,HighestDroughtLevel
12/15/2020,12/21/2020,0,100,100,93.73,76.17,27.6,D4
12/08/2020,12/14/2020,0,100,100,93.71,76.17,27.6,D4
12/01/2020,12/07/2020,0,100,100,93.71,74.68,26.71,D4
11/24/2020,11/30/2020,0,100,100,93.71,74.63,27.22,D4
11/17/2020,11/23/2020,0,100,100,93.71,74.08,27.22,D4
11/10/2020,11/16/2020,0,100,100,93.71,74.08,24.64,D4
11/03/2020,11/09/2020,0,100,100,93.71,74.08,24.39,D4
10/27/2020,11/02/2020,0,100,100,97.26,75.91,21.82,D4
10/20/2020,10/26/2020,0,100,100,97.26,77.72,21.82,D4
10/13/2020,10/19/2020,0,100,100,97.23,59.23,16.72,D4
10/06/2020,10/12/2020,0,100,99.3,90.39,59.23,16.72,D4
09/29/2020,10/05/2020,0,100,99.29,89.35,52.88,2.64,D4
09/22/2020,09/28/2020,0,100,98.61,87.77,50.1,0.38,D4
09/15/2020,09/21/2020,0,100,98.6,88.89,50.1,0.38,D4
09/08/2020,09/14/2020,0,100,98.83,92.27,54.82,0.38,D4
09/01/2020,09/07/2020,0,100,98.8,91.55,36.85,0.38,D4
08/25/2020,08/31/2020,0,100,98.26,93.29,36.52,0.38,D4
08/18/2020,08/24/2020,0,100,98.76,72.69,27.31,0,D3
08/11/2020,08/17/2020,0,100,93.87,61.43,23.66,0,D3
08/04/2020,08/10/2020,0,100,85.88,58.79,26.64,0,D3
07/28/2020,08/03/2020,0.65,99.35,83.72,58.79,26.64,0,D3
07/21/2020,07/27/2020,2.95,97.05,73.99,60.34,31.77,0,D3
07/14/2020,07/20/2020,4.64,95.36,70.2,57.84,36.91,0,D3
07/07/2020,07/13/2020,15.67,84.33,69.18,55.41,34.07,0,D3
06/30/2020,07/06/2020,15.67,84.33,67.96,56.23,34.07,1.37,D4
06/23/2020,06/29/2020,17.21,82.79,67.96,56.23,32.96,0,D3
06/16/2020,06/22/2020,18.4,81.6,65.91,55.41,32.96,0,D3
06/09/2020,06/15/2020,23.22,76.78,63.64,49.38,25.49,0,D3
06/02/2020,06/08/2020,23.22,76.78,63.5,47.08,19.46,0,D3
05/26/2020,06/01/2020,23.22,76.78,65.2,43.76,17.52,0,D3
05/19/2020,05/25/2020,23.22,76.78,65.2,46.31,17.52,0,D3
05/12/2020,05/18/2020,20.76,79.24,62.66,46.08,14.65,0,D3
05/05/2020,05/11/2020,23.79,76.21,61.83,40.72,11.34,0,D3
04/28/2020,05/04/2020,24.47,75.53,56.64,32.72,0,0,D2
04/21/2020,04/27/2020,33.26,66.74,53.58,28.51,0,0,D2
04/14/2020,04/20/2020,33.26,66.74,53.23,12.88,0,0,D2
04/07/2020,04/13/2020,35.36,64.64,47.33,6.5,0,0,D2
03/31/2020,04/06/2020,32.23,67.77,47.33,3.25,0,0,D2
03/24/2020,03/30/2020,30.32,69.68,45.87,3.25,0,0,D2
03/17/2020,03/23/2020,30.09,69.91,46.88,3.3,0,0,D2
