,LATITUDE,LONGITUDE,DISCOVERY_DATE
154178,39.06222222,-105.36638889,2002-04-01
154184,38.20583333,-108.27916667,2002-05-20
154192,38.425,-108.49944444,2002-05-20
154193,38.34916667,-108.43972222,2002-05-20
154199,38.65222222,-107.35222222,2002-06-29
154200,39.02972222,-108.26583333,2002-07-02
154204,38.55361111,-108.43527778,2002-07-09
154212,38.94194444,-108.17527778,2002-07-17
154240,37.90916667,-108.20833333,2002-06-22
154244,38.5425,-107.11,2002-07-10
154315,39.425,-105.525,2002-04-23
154318,39.55,-105.41666667,2002-05-05
154323,39.25,-105.19166667,2002-05-22
154358,38.375,-106.20388889,2002-06-01
154392,39.29944444,-105.59805556,2002-04-17
154397,38.28,-105.225,2002-05-19
154398,38.05194444,-105.24416667,2002-04-27
154399,39.0575,-105.40833333,2002-06-08
154411,39.0225,-105.01138889,2002-05-05
154423,39.02027778,-105.2475,2002-04-16
155238,37.28694444,-103.18666667,2002-04-25
155240,37.30222222,-102.78583333,2002-07-21
155241,37.21388889,-103.11416667,2002-08-18
155243,37.185,-102.87833333,2002-05-26
155244,37.15055556,-102.72416667,2002-05-26
155253,38.19333333,-106.19361111,2002-05-22
155257,37.62694444,-106.6675,2002-06-19
155262,37.87416667,-106.42972222,2002-06-04
155300,37.02472222,-102.53361111,2003-01-07
155301,37.10694444,-103.01166667,2003-09-21
155302,37.36944444,-102.74472222,2003-07-30
155303,37.04055556,-102.42583333,2003-07-27
155304,37.07944444,-102.37638889,2003-08-19
157460,37.50555556,-107.53,2003-07-06
157489,37.4175,-107.20638889,2003-06-03
159853,37.22083333,-107.29277778,2003-07-15
162136,40.85194444,-106.69916667,2003-07-29
163128,37.185,-102.84,2003-11-26
163305,39.41638889,-107.01972222,2003-08-14
163310,39.93333333,-107.575,2003-07-25
164659,38.32194444,-108.44722222,2003-08-10
164660,37.90083333,-108.19583333,2003-07-04
164662,38.22638889,-108.14027778,2003-10-17
164664,38.51027778,-107.56583333,2003-10-24
164674,37.8875,-107.875,2003-07-10
165599,37.60694444,-107.75222222,2002-08-16
166336,37.2175,-107.31166667,2004-07-11
167366,37.68138889,-108.20916667,2004-06-21
167739,37.53027778,-107.13583333,2004-06-17
168096,37.80583333,-107.09083333,2003-07-04
168127,37.28666667,-102.60916667,2004-02-29
168846,37.12666667,-102.45888889,2004-06-04
169486,37.59444444,-103.63305556,2004-06-07
169487,37.05388889,-102.40666667,2004-06-04
169488,37.0975,-102.37055556,2004-06-04
169489,37.05388889,-102.35222222,2004-06-04
172550,40.71166667,-105.29527778,2004-07-12
291433,37.1744,-107.5876,2000-03-13
291434,37.1314,-107.6409,2000-03-17
291438,37.0294,-107.8795,2000-05-02
291488,37.0456,-107.1139,2000-07-28
291504,37.1381,-107.2648,2000-08-02
291561,37.1586,-107.8834,2001-06-30
291574,37.1664,-108.2315,2001-07-08
291608,37.1767,-108.1176,2002-04-28
291655,37.1722,-108.2423,2002-08-12
291689,37.1892,-107.5792,2003-05-19
291733,37.1483,-107.2203,2003-07-26
291771,37.065,-107.0675,2004-05-21
291772,37.065,-106.8728,2004-06-10
291832,37.0158,-108.2487,2004-08-29
291839,37.1597,-107.6081,2005-03-10
291911,37.1003,-107.9706,2006-05-24
292001,37.19769,-108.26774,2007-07-08
292012,37.1078,-107.6417,2007-07-15
292070,37.1161,-107.9878,2008-07-19
292110,37.067791,-107.998,2009-08-01
292117,37.05599,-108.23119,2009-08-09
292124,37.018294,-107.006093,2009-08-28
292151,37.0528,-108.8845,2000-07-02
292166,37.2539,-108.8368,2000-07-14
292170,37.2178,-108.6762,2000-07-21
292181,37.2444,-108.8279,2000-08-01
292185,37.2014,-108.5868,2000-08-02
292236,37.1833,-108.7173,2001-06-24
292342,37.3,-108.8065,2002-07-14
292488,37.1864,-108.9026,2004-07-23
292515,37.0311,-108.2706,2004-08-29
292539,37.2022,-108.6786,2005-06-29
292541,37.0308,-108.3044,2005-06-30
292554,37.1889,-108.7042,2005-07-03
292585,37.1969,-108.7225,2005-07-09
292596,37.21,-108.3086,2005-07-14
292609,37.2492,-108.6028,2006-05-20
292615,37.2047,-108.7286,2006-06-02
292664,37.1267,-108.4025,2006-07-18
292682,37.1272,-108.4303,2006-07-25
292693,37.2056,-108.315,2006-08-21
292749,37.22349,-108.611187,2007-07-04
292827,37.0181,-108.3003,2008-07-31
292869,37.0987,-108.380637,2009-08-07
321652,38.41526,-106.34531,2000-04-18
321685,39.9469,-105.35,2000-09-15
321686,38.55674,-105.16327,2000-09-17
321695,38.9631,-106.0445,2001-06-29
321718,38.6683,-105.2964,2001-10-01
321728,37.0722,-103.1994,2002-05-15
321729,37.69067,-105.36294,2002-05-21
321733,38.29781,-105.50257,2002-06-02
321741,38.71872,-105.43677,2002-06-25
321791,38.6017,-105.1169,2003-06-21
321819,38.8464,-105.1739,2004-03-20
321820,38.5625,-105.0766,2004-03-23
321843,38.645,-105.3086,2005-07-06
321844,38.6497,-105.3314,2005-07-06
321853,37.8553,-104.9144,2005-07-18
321863,38.6864,-105.1892,2006-05-15
321869,37.6989,-105.1667,2006-06-05
321872,38.1397,-105.3272,2006-06-14
321879,40.8997,-105.3914,2006-06-20
321905,38.4067,-105.3589,2007-06-26
321920,38.399198,-105.386353,2008-05-12
321928,38.19,-104.8822,2008-06-20
321929,38.7736,-105.2617,2008-06-22
321934,38.67668,-105.35252,2008-07-04
321935,38.427198,-105.280247,2008-07-29
321937,37.82869,-104.70355,2008-08-01
321940,38.4989,-104.322197,2008-10-02
321941,38.5611,-104.9764,2008-10-16
321942,38.5536,-105.0922,2008-11-16
321943,38.65002,-105.39624,2009-03-16
321946,38.2792,-105.1806,2009-07-10
321967,40.1861,-108.8665,2000-04-03
321969,40.0039,-108.1837,2000-04-11
321970,40.0194,-108.1217,2000-04-11
321971,40.2694,-108.4326,2000-04-14
321972,40.2666,-107.072,2000-04-17
321977,40.1011,-108.6912,2000-05-28
321985,40.1333,-108.3851,2000-05-29
321986,40.1083,-108.634,2000-05-29
321987,40.1622,-108.5362,2000-05-29
321988,40.0408,-108.1898,2000-05-30
321994,39.82,-108.7032,2000-06-02
322012,40.6475,-108.9287,2000-06-23
322017,40.2875,-108.6609,2000-06-24
322027,39.8814,-108.2568,2000-06-29
322031,40.1936,-108.207,2000-07-01
322036,40.6772,-108.9173,2000-07-03
322038,39.8153,-108.9209,2000-07-04
322045,40.2091,-108.4006,2000-07-08
322074,40.7022,-107.6742,2000-07-13
322086,40.0972,-108.1081,2000-07-17
322091,40.5111,-108.7382,2000-07-17
322099,40.0716,-108.1531,2000-07-18
322105,40.2516,-108.2401,2000-07-19
322106,40.1569,-108.2273,2000-07-19
322108,40.0805,-108.6382,2000-07-20
322110,39.775,-108.2229,2000-07-22
322142,40.0858,-108.2895,2000-07-24
322147,40.2236,-108.7909,2000-07-24
322148,40.2194,-108.182,2000-07-24
322150,40.2583,-108.9757,2000-07-24
322151,40.2797,-108.5887,2000-07-24
322152,40.355,-107.757,2000-07-24
322156,40.2091,-108.182,2000-07-24
322158,40.3305,-108.3993,2000-07-24
322161,40.0583,-108.229,2000-07-25
322164,40.8439,-108.0256,2000-07-25
322173,40.87,-108.8184,2000-07-26
322177,40.0611,-108.7537,2000-07-26
322188,39.7686,-108.7026,2000-07-30
322211,39.8564,-108.8282,2000-08-09
322298,40.968,-107.3784,2000-08-29
322303,40.4744,-108.3526,2000-09-05
322311,40.2986,-108.3331,2000-09-16
322329,40.05,-107.9256,2001-05-30
322330,40.1041,-108.1245,2001-05-30
322340,39.8822,-108.8284,2001-06-09
322341,40.2586,-109.0168,2001-06-22
322347,40.1055,-108.3168,2001-06-23
322373,40.0744,-108.294,2001-07-01
322377,40.6608,-108.8832,2001-07-02
322378,40.2944,-108.6754,2001-07-02
322385,40.0586,-108.6498,2001-07-02
322386,40.0841,-108.1331,2001-07-02
322387,40.2258,-108.6868,2001-07-02
322403,40.0075,-108.5865,2001-07-03
322405,39.818,-108.6076,2001-07-03
322417,40.0839,-108.4698,2001-07-04
322419,39.9653,-108.4718,2001-07-04
322437,39.9933,-108.0779,2001-07-05
322440,40.0694,-108.3776,2001-07-05
322455,40.2416,-108.8037,2001-07-08
322469,40.3405,-107.8556,2001-07-10
322488,40.4202,-108.8329,2001-07-13
322490,40.4136,-108.0642,2001-07-14
322496,39.935,-108.4509,2001-07-16
322498,40.7533,-108.9632,2001-07-17
322506,40.3986,-108.9971,2001-07-25
322532,40.3489,-108.6284,2001-08-03
322533,40.2875,-108.6218,2001-08-03
322536,40.4775,-108.2184,2001-08-03
322587,39.99,-108.4418,2001-08-11
322589,40.0739,-108.4807,2001-08-12
322602,40.1277,-108.3401,2001-08-19
322618,39.9325,-108.1959,2001-08-27
322683,40.2347,-108.8601,2001-09-15
322689,39.6819,-108.7129,2001-10-26
322694,40.0716,-108.8865,2002-05-13
322695,40.0472,-109.0107,2002-06-09
322713,40.0516,-108.6376,2002-06-22
322714,40.2294,-108.3962,2002-06-22
322719,40.1002,-108.1865,2002-06-22
322722,39.7669,-108.6765,2002-06-23
322735,40.7211,-107.7042,2002-07-10
322736,40.9525,-107.4978,2002-07-12
322752,40.66,-107.6873,2002-07-19
322753,40.7833,-107.6506,2002-07-19
322762,40.4219,-107.9642,2002-07-23
322785,40.0983,-108.4351,2002-07-30
322799,40.2436,-108.3431,2002-08-10
322806,40.5414,-108.3932,2002-08-21
322819,40.0633,-108.2918,2002-08-24
322820,39.6533,-109.0393,2002-08-25
322837,40.8077,-108.8026,2002-08-31
322935,39.7803,-108.437,2003-06-16
322983,39.8453,-108.3129,2003-07-08
322985,40.4422,-107.7442,2003-07-15
323003,39.9547,-108.4898,2003-07-18
323019,39.9547,-108.4898,2003-07-21
323021,40.4805,-108.3968,2003-07-22
323058,39.7033,-108.7848,2003-07-26
323065,39.775,-108.3976,2003-07-29
323082,40.093,-108.5145,2003-08-06
323095,40.1555,-108.7348,2003-08-13
323099,40.3286,-108.4276,2003-08-13
323122,40.2258,-108.324,2003-08-15
323145,39.7861,-108.8334,2003-08-22
323152,40.1872,-109.0076,2003-08-28
323173,40.5214,-107.7578,2003-10-24
323182,39.9508,-108.189,2004-06-06
323183,40.5452,-108.4023,2004-06-06
323213,39.9072,-108.4404,2004-07-02
323222,39.7083,-108.8632,2004-07-06
323224,40.3836,-108.4895,2004-07-07
323228,40.6358,-107.949,2004-07-13
323234,40.5758,-107.992,2004-07-13
323279,40.0383,-108.1131,2004-07-24
323301,40.5025,-107.9337,2004-07-31
323323,40.5661,-108.8718,2004-08-16
323338,40.1616,-108.6432,2004-08-28
323339,40.3847,-108.3581,2004-09-03
323345,39.7347,-108.3573,2005-04-18
323378,40.188,-108.6026,2005-07-02
323380,40.2314,-108.6268,2005-07-02
323409,40.0461,-108.1062,2005-07-07
323420,40.1241,-108.0967,2005-07-21
323434,40.613,-108.5987,2005-07-28
323437,40.2055,-108.9968,2005-07-31
323476,40.2216,-108.7596,2005-08-08
323538,39.968,-108.1254,2006-04-27
323546,40.2019,-108.7717,2006-05-19
323548,40.0325,-108.195,2006-05-21
323549,40.185,-108.96,2006-05-22
323586,40.1861,-108.6503,2006-06-10
323588,40.2736,-108.9306,2006-06-11
323592,40.6244,-108.7647,2006-06-13
323594,39.6828,-108.7969,2006-06-18
323595,40.0728,-108.7906,2006-06-19
323598,40.9439,-107.6214,2006-06-26
323604,40.4544,-108.3128,2006-06-28
323606,40.6305,-108.9983,2006-06-30
323646,40.5869,-108.2297,2006-07-12
323649,40.8425,-107.7456,2006-07-13
323651,40.2083,-108.24,2006-07-18
323657,40.1339,-108.7167,2006-07-18
323671,40.4306,-108.9906,2006-07-20
323676,40.645,-107.9556,2006-07-21
323681,40.7528,-108.9061,2006-07-24
323695,40.4572,-108.1711,2006-07-24
323714,40.4131,-108.4253,2006-07-26
323716,40.8603,-108.8997,2006-07-26
323724,40.3553,-108.7497,2006-07-30
323732,40.7033,-107.7214,2006-08-05
323737,40.3181,-108.355,2006-08-06
323757,40.27,-108.6217,2006-08-14
323765,40.6844,-108.9497,2006-08-16
323768,40.5942,-106.4989,2006-08-21
323770,40.5067,-108.0936,2006-08-22
323771,40.9461,-107.3783,2006-08-22
323787,40.0595,-107.6948,2006-09-01
323794,40.1253,-105.9936,2007-04-02
323822,40.0761,-108.7445,2007-06-21
323829,40.3627,-108.6123,2007-06-22
323841,40.3114,-108.2212,2007-07-05
323858,40.4208,-107.9731,2007-07-07
323859,40.8336,-108.2631,2007-07-09
323870,40.6886,-108.7771,2007-07-14
323928,40.4302,-107.8098,2007-07-25
323943,40.6683,-107.844,2007-08-02
323960,40.8817,-107.5892,2007-08-13
323994,40.9225,-107.5156,2007-08-22
